Feature,Score,P_value
bmi,1465.6680151900641,5.19812253976321e-300
body_comp_total_fat_mass,1349.5239192708161,8.501147621377391e-278
body_comp_trunk_fat_mass,1244.7870381403905,1.421419686036995e-257
body_comp_android_fat_mass,1188.9340107696296,1.0294677181746177e-246
hip_circumference,941.2439038711497,6.629752032509927e-198
total_scan_sat_volume,907.8835389752035,3.006454024948994e-191
total_scan_sat_mass,907.8835389748763,3.0064540254017e-191
body_comp_total_tissue_mass,792.8963889353952,3.771552537920042e-168
waist_circumference,734.6829071890778,2.307085983798619e-156
body_comp_trunk_tissue_percent_fat,662.5500252310077,1.1374832108106916e-141
body_comp_android_tissue_percent_fat,645.9468786148119,2.830310229289347e-138
body_comp_total_tissue_percent_fat,541.3138499247495,9.44056610032167e-117
total_scan_vat_volume,495.4253980887956,3.033722650176325e-107
total_scan_vat_mass,495.4253980886697,3.033722650359119e-107
speed_of_sound_qbox,367.1169921341083,1.951796167760834e-80
attenuation_coefficient_qbox,157.29055533734214,8.057131744681648e-36
waist_to_hip_ratio,113.15692766707595,2.725835632600896e-26
body_comp_android_lean_mass,100.06422558539468,1.8856919029718196e-23
body_comp_total_lean_mass,76.44800567058238,2.6118718270790248e-18
body_comp_trunk_lean_mass,58.395251621374285,2.334194571539234e-14
viscosity_qbox_median,40.887862038174866,1.6818188565115232e-10
cgm_sd_roc,23.544199409127565,1.23860614086013e-06
cgm_median,23.21873409990887,1.4663836873372494e-06
cgm_mean,20.38966339342378,6.386939319864161e-06
cgm_gmi,20.389663392597146,6.386939322617222e-06
cgm_lbgi,12.087021029750137,0.0005098266803907156
cgm_cogi,9.267626962593539,0.002338262401287456
cgm_adrr,8.300846375156044,0.0039708130991886635
cgm_sdhmm,8.286956689792387,0.0040012754762701
cgm_sdwsh,8.0329566458076,0.004602284655998143
cgm_modd,7.0986524699249305,0.007726165074987813
cgm_hbgi,5.531963590289368,0.01869079373933251
cgm_cv,4.8137962113437975,0.028254963272541747
cgm_above_140,3.9558406011316016,0.04673530114547377
cgm_grade_eugly,2.1785316920729794,0.13997838114938568
dispersion_qbox_median,1.8744213192236883,0.17099930455661197
elasticity_qbox_median,1.2339547572884146,0.2666514570365873
cgm_grade,1.1646949903450858,0.2805191452240657
velocity_qbox_median,0.8683631760271733,0.3514306128810679
cgm_iqr,0.823302757535785,0.3642374347640658
cgm_mad,0.09320883468711834,0.7601428942657152
cgm_sdw,0.010533641499634592,0.9182558210057876
cgm_mag,0.007693912858024166,0.9301049342842759
cgm_above_180,0.001422795292602865,0.9699116908759269